"Date","AMZN","GOOGL","MRNA","TDOC","MSFT","COST","GILD","INTU","TMO","FB","WTRG","DXCM","JNJ","BOX","NVDA","NFLX","WM","UNH","HAE","CTXS","PFE","CHD","EVBG","PG","ATVI","HCA","ZM","VEEV","BMY","CRM","CAH","SYNH","AAPL","ROL","LDOS","CTLT","DPZ","ABBV","FTNT","FATE","TGT","ABT","ANTM","ABC","SSNC","WMT","AMD","KMB","MCHP","ROKU","GE","TTWO","SYY","MU","RGLD","CLX","IQV","KR","LVGO","ETSY","EXEL","HRC","VRSK","WCN","ARCC","GMED","RDFN","WRK","ECL","RMD","QCOM","CNC","COUP","SAIC","MA","BF-B","SYK","ACAD","ATO","LLY","RTX","NTAP","LW","MPW","V","CLDR","CPB","NOC","APH","AVGO","UNP","ZBRA","DTE","BAX","LBRDK","DUK","SR","ES","STZ","KLAC","LMT","PSTG","ZEN","CBOE","EL","NYT","SWKS","SRE","STT","EXC","LNT","SIVB","ANET","WDC","MCO","NEWR","ALB","ENR"
2020-01-02,1898.01001,1368.680054,19.23,83.260002,160.18248,290.876709,64.628151,265.070587,326.117462,209.779999,45.677826,219.380005,145.04509,17.24,239.766586,329.809998,113.702499,291.238464,115.269997,111.315102,38.744225,69.807915,79.989998,122.681229,58.266792,146.99205,68.720001,143.399994,62.820061,166.990005,49.592613,59.509998,299.638885,33.238277,98.229202,56.599998,292.712036,87.057884,109.68,19.469999,125.356583,86.219185,299.754395,84.706924,61.501221,118.416039,49.099998,134.84964,107.240417,137.100006,11.918165,122.080002,83.750114,55.389999,120.748672,151.598709,156.410004,28.500168,25.219999,45.189999,17.66,113.460228,150.850983,91.562584,18.136211,59.450001,21.625,42.968262,189.733475,155.760803,87.990051,61.880001,153.570007,86.76918,302.517975,66.871246,209.689987,41.110001,109.847679,131.528275,95.918594,62.016949,83.87989,20.532038,190.843597,11.6,47.779659,354.40744,108.886948,317.001648,181.203323,259.140015,127.270157,85.652931,126.470001,89.468155,81.852165,82.725037,187.595078,181.672882,396.877838,17.799999,79.989998,119.165077,205.736954,32.476921,121.20015,147.598206,79.948814,45.084633,53.285057,254.270004,204.720001,64.771545,241.222031,68.059998,72.211044,48.264973
2020-01-03,1874.969971,1361.52002,18.889999,82.959999,158.187927,291.116241,64.46962,263.297852,322.570221,208.669998,46.006371,218.699997,143.365799,16.940001,235.928894,325.899994,114.807472,288.291229,114.849998,111.46463,38.53635,70.04715,80.419998,121.856125,58.286655,147.440521,67.279999,142.509995,62.264656,166.169998,48.869865,59.040001,296.725769,33.128613,99.085793,55.98,293.979095,86.231537,111.209999,19.1,124.053993,85.168098,295.779205,83.641617,61.002346,117.370667,48.599998,134.809921,104.888298,137.509995,11.958125,122.209999,83.443443,54.529999,119.761703,151.896713,154.190002,28.539946,25.16,44.900002,17.01,112.841751,152.318375,91.432816,18.136211,58.32,21.610001,42.206799,188.825867,154.942627,86.333229,61.16,159.580002,87.413315,299.566467,67.150459,208.833099,40.349998,110.574158,131.09053,96.050133,60.959785,93.326225,20.6703,189.325806,11.31,47.720539,373.647278,107.750519,308.93869,179.920868,256.049988,127.576706,85.283867,127.769997,89.52758,82.080307,82.357285,188.820465,178.200027,411.158142,17.42,78.349998,120.969704,204.180908,32.6563,118.191818,146.25209,78.77076,45.223568,53.45396,250.330002,200.850006,63.774597,240.62326,67.690002,71.176758,48.304737
2020-01-06,1902.880005,1397.810059,18.129999,86.940002,158.596817,291.196045,65.044273,265.31955,324.888428,212.600006,45.847073,225.990005,143.186951,17.32,236.918289,335.829987,115.404755,290.292542,115.540001,112.650848,38.486855,70.316299,82.230003,122.025124,59.34967,147.998627,70.32,144.199997,62.463017,173.449997,49.275791,59.900002,299.090149,33.128613,99.962303,55.990002,293.260773,86.912056,112,19.809999,122.880669,85.614319,299.335968,84.866219,61.571064,117.131721,48.389999,135.107758,103.383354,143.369995,12.127956,124.690002,83.334625,53.57,118.445747,152.353668,155,28.639385,25.040001,44.834999,17.559999,113.240761,152.667755,92.690514,18.165369,58.57,21.41,41.564003,187.220062,155.680969,85.827255,63.029999,164.759995,87.601601,300.364197,67.29007,211.453598,42.810001,110.424881,131.578003,96.256821,60.811584,90.473373,20.769058,188.916397,11.5,47.799362,374.464264,107.192284,308.476563,178.379944,258.01001,127.547043,85.074394,128.179993,89.963326,82.02079,82.80455,189.68721,174.189835,410.532074,17.629999,80.93,119.833092,206.834167,32.706123,116.109879,147.479446,79.978508,45.293034,53.404282,249.240005,202.860001,62.550629,241.371719,68.099998,71.097198,48.791862
2020-01-07,1906.859985,1395.109985,17.780001,85.730003,157.150772,290.73703,64.519165,265.379303,326.72699,213.059998,46.115883,231.449997,144.061356,16.969999,239.786575,330.75,115.48439,288.540161,113.989998,112.052757,38.35817,69.638458,82.989998,121.269608,59.945747,147.799301,71.900002,139.199997,63.40522,176,49.295593,59.759998,297.683533,33.148552,99.593765,56.290001,291.16571,86.416252,111.889999,21.01,123.099426,85.138359,298.429352,84.258888,61.581043,116.046524,48.25,134.988632,110.320091,138.190002,12.038046,125.510002,82.661934,58.27,119.811546,150.51593,156.800003,28.430557,25.65,45.779999,18.68,112.831779,153.94548,92.411026,18.116772,58.110001,21.469999,41.099216,186.980682,154.802933,88.267845,63.029999,165.759995,87.611511,299.347107,66.781502,208.862991,42.18,111.161308,131.826706,95.949921,61.206787,90.982101,20.591291,188.417114,11.52,47.82914,373.607422,107.770462,307.414612,177.027908,256.470001,127.121826,85.273888,128.669998,89.398827,81.614105,82.178375,182.912674,175.572998,411.913422,17.709999,78.68,117.868942,205.527496,32.396725,117.215599,147.360672,81.087265,45.332729,53.45396,250.399994,204.850006,66.785164,240.50351,68.080002,72.032036,49.18951
2020-01-08,1891.969971,1405.040039,17.98,86.220001,159.653915,294.070007,65.192894,271.763062,327.246582,215.220001,46.305046,233.229996,144.041504,16.860001,240.236313,339.26001,115.554077,294.62381,114.410004,113.398468,38.665035,69.01046,82.949997,121.786537,59.488754,148.775986,72.550003,141.699997,63.335793,177.330002,49.562912,59.959999,302.472137,33.118645,99.474251,56.68,289.878723,87.028717,113.669998,21.99,122.701691,85.485405,306.339905,85.075294,61.920277,115.648285,47.830002,136.299103,108.924767,134.639999,11.928154,127.82,83.621506,57.52,111.257851,150.962952,157.600006,28.261505,26.08,45.005001,18.950001,113.4702,155.362946,93.099762,18.204247,58.52,21.459999,41.277222,187.050491,155.920441,88.009895,64.370003,167.460007,88.453835,304.628937,66.951027,209.929138,44.41,110.20594,133.020538,96.093979,62.382511,91.031975,20.660423,191.642441,11.98,46.99543,368.944427,108.029648,303.579773,178.966492,247.639999,127.052597,86.510757,128.509995,89.52758,80.602364,82.247948,189.577621,175.801865,408.465057,18.040001,79.800003,116.662537,207.193268,32.47657,119.078377,148.370255,80.671478,45.660221,53.573189,252.779999,206.979996,67.752487,245.113983,69.139999,70.788902,49.895344
2020-01-09,1901.050049,1419.790039,18.4,85.370003,161.648468,298.79007,65.232513,274.307556,329.35495,218.300003,46.524078,239.270004,144.468765,16.98,242.874741,335.660004,115.603844,292.95105,115.910004,113.687546,38.496754,69.528801,83.540001,123.118622,58.952282,146.922272,72.620003,145.720001,64.912735,179.600006,49.800529,59.950001,308.896912,33.647026,100.679451,56.970001,288.222595,87.699516,114.480003,21.950001,122.801125,85.713478,305.273865,86.279991,62.997845,116.843002,48.970001,138.453445,109.951324,133.789993,11.898185,128.020004,83.720428,57.310001,111.846046,151.787445,159.5,28.281395,26.299999,46.43,18.629999,114.148529,156.860275,93.578896,18.184807,54.549999,21.709999,42.098015,189.543976,157.227509,89.200424,64.160004,171.460007,92.090683,308.622772,67.190346,210.865738,45.580002,110.564209,135.219131,96.238037,62.698669,90.563148,20.818438,192.97052,11.93,47.263409,371.006897,108.408447,301.141235,178.05188,246.5,127.230606,86.321236,129.369995,89.745453,80.344467,82.894005,192.865265,174.62767,412.340729,18.469999,81.160004,115.665504,211.422516,31.458559,119.18795,147.301285,82.087112,45.79916,54.179264,256.109985,206.800003,67.73275,248.337341,69.449997,72.340332,49.209396
2020-01-10,1883.160034,1428.959961,19.139999,85.160004,160.900513,296.614624,64.429993,274.65683,328.475647,218.059998,46.613682,237.300003,144.140854,16.809999,244.173965,329.049988,115.673523,293.857117,116.230003,113.378525,39.090687,69.877693,83.669998,123.237915,58.564831,147.639847,73.089996,145.509995,64.69455,180.199997,50.127254,60.07,309.595215,34.624035,100.619682,57.689999,288.41217,86.581512,114.32,21.940001,124.024162,84.642555,306.598938,86.658325,62.04998,115.86731,48.169998,139.21788,110.459625,128.399994,11.658422,126.760002,84.007317,56.669998,113.441139,152.651672,159.300003,28.201841,27,46.130001,18.32,115.255798,157.039963,93.648766,18.136211,53.220001,21.85,41.692562,188.436874,156.539047,89.547661,64.480003,169.600006,92.199699,310.689575,67.09063,208.892883,45.240002,110.852806,137.288406,95.116875,62.372631,90.253929,21.015957,193.489777,11.81,47.372585,373.029541,107.979797,294.218903,176.898666,246.270004,127.507492,85.682854,128.619995,89.567192,80.394066,83.897881,187.674774,172.159851,411.247589,18.77,81.800003,115.505974,211.083359,31.189083,119.616295,148.231674,80.869469,45.908321,54.715794,251.729996,207.460007,67.061546,247.519028,67.300003,71.70385,48.195381
2020-01-13,1891.300049,1440.030029,20.26,95.970001,162.835236,299.239105,63.716633,275.445129,331.763062,221.910004,47.390244,235.839996,144.77681,16.6,251.829361,338.920013,117.126915,284.617157,116.620003,114.774078,39.011497,70.595413,84.959999,124.14254,58.852936,146.663162,74.029999,148.660004,65.606995,183.850006,49.939137,59.810001,316.209534,34.873272,100.749176,59.450001,283.334106,86.056549,116.690002,21.690001,123.169029,84.404572,295.639709,85.772232,62.469036,115.369514,48.75,139.883041,110.838348,133.929993,12.107976,128.449997,82.820213,57.450001,110.839142,155.164917,158.149994,28.261505,28.549999,47.959999,18.469999,114.567497,157.738708,94.886497,18.213964,52.869999,22.25,42.05846,190.9104,157.91597,90.25206,63.400002,173.639999,93.577133,314.723328,67.888382,206.142853,41.799999,111.997261,138.223572,95.235878,63.340874,91.002052,21.42087,195.047516,11.74,47.362663,375.460632,108.767319,296.146118,178.847183,248.580002,128.150269,89.144089,130.210007,90.359467,81.187584,84.633385,187.734543,174.239594,416.405212,18.84,83.790001,114.74823,212.92868,31.438597,124.029182,149.627289,81.255554,45.838852,55.222515,253.850006,211.149994,68.236153,250.971909,69.330002,75.443192,46.634602
2020-01-14,1869.439941,1430.589966,20,96.870003,161.68837,299.119354,63.607647,272.092346,332.54248,219.059998,47.758614,235.059998,145.591614,16.219999,247.132187,338.690002,117.535057,286.996826,116.760002,114.59465,39.664822,70.944298,85.669998,123.953667,59.657642,147.410629,73.160004,147.779999,65.894615,182.119995,51.92918,60.540001,311.939667,34.943058,100.390602,60.310001,284.451477,86.903908,116.720001,24.280001,124.551163,85.380455,295.779205,88.440475,61.920277,115.668198,48.209999,139.972412,109.751999,133.419998,12.018065,126.93,81.514404,57.52,112.025497,155.214584,158.929993,28.679163,30.82,49.150002,19.65,115.734612,156.600739,94.956367,18.340317,53.060001,22.360001,42.088127,189.464188,157.965866,89.845291,63.169998,171.100006,93.141113,310.1604,68.696098,207.209,44.049999,112.265961,139.924744,94.916451,63.014832,90.443451,21.233227,195.766479,11.58,47.18401,373.308502,109.156097,303.029144,179.741928,248.070007,128.81282,88.984489,129.699997,90.418892,81.584351,85.32914,190.115601,176.60788,413.543182,18.41,83.230003,115.147041,215.153015,32.885773,122.863701,149.676788,80.711075,45.461742,55.262253,253.490005,213.050003,68.315117,248.916138,70.669998,77.750443,46.823483
2020-01-15,1862.02002,1439.199951,20.24,94,162.735504,300.187103,63.508572,272.411682,334.940643,221.149994,48.674561,234.339996,146.078506,16.08,245.423218,339.070007,117.68438,295.131622,115.669998,114.943535,40.258755,71.612175,87.739998,125.216164,59.25032,146.752853,76.940002,144.429993,66.03347,181.059998,53.275677,62.5,310.602844,35.132481,101.735252,60.84,287.893402,87.948341,117.050003,24.48,116.337906,87.01358,300.431885,90.969337,62.149757,114.772163,48.549999,141.133957,107.220482,132.5,11.858224,126.610001,81.761719,56.169998,114.248657,155.631805,159.369995,28.132233,30.9,48.860001,20.4,115.395454,158.367584,96.044388,18.330597,52.860001,23.950001,42.177132,190.950302,158.36496,88.962318,64.519997,169.869995,94.469017,313.764832,69.503815,206.003357,45.400002,113.201431,140.38237,95.179512,63.419914,90.652924,21.598637,199.511047,11.52,47.422211,378.878204,108.368576,298.073395,179.741928,247.800003,130.523605,89.333603,130.639999,91.597404,82.69529,86.790222,190.135529,177.045731,418.323181,18.360001,83.989998,116.522949,217.935959,33.165222,119.954979,152.566986,80.394287,46.196117,55.898136,250.589996,213.389999,65.807961,252.508728,72.589996,79.679787,47.94685
